d_municipio,c_estado,c_mnpio
Iztacalco,09,006
Iztacalco,09,006
Iztacalco,09,006
Iztacalco,09,006
Iztacalco,09,006
Iztacalco,09,006
Iztacalco,09,006
Iztacalco,09,006
Iztacalco,09,006
Iztacalco,09,006
Iztacalco,09,006
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
Iztapalapa,09,007
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
La Magdalena Contreras,09,008
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
Miguel Hidalgo,09,016
